iter	RMSE
0	0.3827449786
1	0.3747453883
2	0.3675661444
3	0.3598926796
4	0.3526752754
5	0.3454867844
6	0.3386045553
7	0.3323746058
8	0.3259207315
9	0.3200052174
10	0.313969023
11	0.3082565797
12	0.3026035295
13	0.2971804954
14	0.2917478362
15	0.2863228652
16	0.2818080472
17	0.2775420584
18	0.2731260051
19	0.2686932078
20	0.2643665759
21	0.2602093149
22	0.2564785553
23	0.2521564636
24	0.2485597784
25	0.2447043758
26	0.2412677906
27	0.2378848291
28	0.2339601982
29	0.2306133186
30	0.2275439493
31	0.2249261124
32	0.221422806
33	0.2182770202
34	0.2152501229
35	0.2127091104
36	0.2096220511
37	0.2070640993
38	0.2043392126
39	0.2018537368
40	0.1996625457
41	0.1972630502
42	0.1951624535
43	0.1934290676
44	0.1913026521
45	0.1894987928
46	0.1881269714
47	0.186152675
48	0.1840431134
49	0.1822784061
50	0.1805244741
51	0.1789506236
52	0.1774657178
53	0.1761206572
54	0.1742066782
55	0.1727086595
56	0.1713032236
57	0.1697786004
58	0.1685361292
59	0.1671341687
60	0.1659567611
61	0.1647539563
62	0.1633474575
63	0.1618995024
64	0.1604302109
65	0.1591963644
66	0.1580967693
67	0.1570382034
68	0.1559608267
69	0.1548167491
70	0.1538584806
71	0.1529732218
72	0.1521067649
73	0.1510674508
74	0.1501123716
75	0.1492009134
76	0.1483469871
77	0.1476463067
78	0.1465959522
79	0.145844438
80	0.1449221554
81	0.1440070562
82	0.1430604902
83	0.1423414649
84	0.1416014451
85	0.1408645889
86	0.1402234357
87	0.1393365763
88	0.1386334605
89	0.1380114043
90	0.1372434436
91	0.136516202
92	0.1356497487
93	0.1350149669
94	0.1344251289
95	0.1339117049
96	0.1333627093
97	0.1325794452
98	0.1319359321
99	0.1314593989
100	0.1310826349
101	0.1306982611
102	0.1301403859
103	0.1297463601
104	0.1292939426
105	0.1287028846
106	0.1281861553
107	0.1277667205
108	0.1273226122
109	0.1269127811
110	0.126661617
111	0.1261052415
112	0.1256866444
113	0.1252181274
114	0.1245155497
115	0.1241591289
116	0.1235455252
117	0.1231195623
118	0.1227268636
119	0.1222622173
120	0.1219427884
121	0.1215704483
122	0.1211376128
123	0.1208616309
124	0.1204831398
125	0.1200908727
126	0.1195571897
127	0.1192093356
128	0.1187857741
129	0.1183913143
130	0.1181466426
131	0.1178465716
132	0.1173490679
133	0.1170835176
134	0.1168038741
135	0.1164438632
136	0.1161648784
137	0.115596256
138	0.1151853959
139	0.1148078534
140	0.1144128797
141	0.1139828667
142	0.1136315815
143	0.1134760963
144	0.1132016923
145	0.1128507856
146	0.1126511869
147	0.1122215051
148	0.1119527209
149	0.1116402826
150	0.111275261
151	0.1108967649
152	0.1103620447
153	0.1100638396
154	0.109777539
155	0.1093812563
156	0.1090690426
157	0.1088246309
158	0.1083935501
159	0.1080780023
160	0.1078040827
161	0.1076207997
162	0.1073149564
163	0.1071400846
164	0.107050437
165	0.1067171936
166	0.1063793828
167	0.1061439452
168	0.1056651618
169	0.1053818023
170	0.1051002722
171	0.1047265092
172	0.1044801154
173	0.1043532813
174	0.1039646287
175	0.1036937211
176	0.1034339159
177	0.1031019788
178	0.1027496173
179	0.1025073026
180	0.1022374468
181	0.1019392695
182	0.1017509337
183	0.1015923053
184	0.1013104947
185	0.101155431
186	0.1008447602
187	0.1005780044
188	0.1004702241
189	0.1002290067
190	0.100001906
191	0.09981294383
192	0.09961677817
193	0.09943906538
194	0.09908902187
195	0.09885825356
196	0.0986511198
197	0.09831980278
198	0.09800644723
199	0.0978117908
200	0.09759674733
201	0.09742874762
202	0.09721125929
203	0.09697630259
204	0.09682448346
205	0.09670317596
206	0.09644814288
207	0.09629340877
208	0.09604316712
209	0.09592099186
210	0.09562886372
211	0.09551866299
212	0.09521344091
213	0.09501725281
214	0.0946582376
215	0.09445182248
216	0.09435070228
217	0.09424577808
218	0.09412729255
219	0.0939177892
220	0.09358803259
221	0.09336922329
222	0.09325325767
223	0.09292014272
224	0.09271844137
225	0.09259377014
226	0.09246795057
227	0.09222363074
228	0.09193354442
229	0.09181891614
230	0.09172266249
231	0.09152442606
232	0.09120183466
233	0.09089395453
234	0.09080434291
235	0.09048906909
236	0.09036320157
237	0.09027191333
238	0.09001789314
239	0.08982275716
240	0.08956099042
241	0.08935778515
242	0.08912628055
243	0.08888207729
244	0.08877453735
245	0.0885689923
246	0.08846612683
247	0.08835550546
248	0.08809857772
249	0.08800405478
250	0.08783408907
251	0.08759532431
252	0.0872713635
253	0.08717143954
254	0.08689677044
255	0.0867095157
256	0.08643857305
257	0.0862909898
258	0.08619614181
259	0.08593084046
260	0.08584414129
261	0.08562848966
262	0.0853701989
263	0.08516148017
264	0.08499481504
265	0.08491369623
266	0.08478498887
267	0.08455325652
268	0.0844871362
269	0.08434034752
